horizon,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std
all,0.6000752700436716,0.08206427332757267,0.4377799916285598,0.0814684081827726,0.49734219269102986,0.09739017154305822
≤12mo,0.5593908379669418,0.13837267816027782,0.4826143617364703,0.17174918617460583,0.38042735042735043,0.1828067068225827
≤3mo,0.5900000000000001,0.23558437978779495,0.636186507936508,0.17399516160957598,0.4303030303030303,0.3063455019660633
≤6mo,0.6028787878787878,0.20171768305803078,0.6030031896208368,0.11440734476608756,0.5326723671924911,0.15823211793774872
